Bitter Is the New Black: Confessions of a Condescending; Egomaniacal; Self-Centered Smartass; Or; Why You Should Never Carry A Prada Bag to the Unemployment Office,Jen Lancaster,Womens Fiction Chick Lit Humor Autobiography Memoir Nonfiction Humor Funny,March 7th 2006,400,NAL,English,0451217608,9780451217608,https://www.goodreads.com/book/show/27126.Bitter_Is_the_New_Black,
Ilium,Dan Simmons,Fantasy Science Fiction Science Fiction Fantasy Space Space Opera Fiction,June 28th 2005,752,HarperTorch,English,0380817926,9780380817924,https://www.goodreads.com/book/show/3973.Ilium,
Eleven on Top,Janet Evanovich,Mystery Fiction Humor Womens Fiction Chick Lit Romance,June 20th 2006,321,St. Martin's Press,English,0312985347,9780312985349,https://www.goodreads.com/book/show/11003.Eleven_on_Top,
The Cuckoo's Calling,Robert Galbraith J.K. Rowling,Mystery Fiction Mystery Crime Thriller,April 30th 2013,455,Mulholland Books / Little; Brown and Company,English,0316206849,9780316206846,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling,
The Places in Between,Rory Stewart,Travel Nonfiction Autobiography Memoir History,May 8th 2006,299,Mariner Books,English,0156031566,9780156031561,https://www.goodreads.com/book/show/95643.The_Places_in_Between,
Beautiful Darkness,Kami Garcia Margaret Stohl,Young Adult Fantasy Fantasy Paranormal Romance,October 12th 2010,503,Little; Brown and Company,English,0316077054,9780316077057,https://www.goodreads.com/book/show/7842288-beautiful-darkness,
When Will There Be Good News?,Kate Atkinson,Fiction Mystery Mystery Crime Cultural Scotland,September 24th 2008,400,Little; Brown and Company,English,0316154857,9780316154857,https://www.goodreads.com/book/show/3289281-when-will-there-be-good-news,
Skippy Dies,Paul Murray,Fiction Cultural Ireland Contemporary Abandoned Young Adult Coming Of Age Literary Fiction,January 1st 2010,661,Hamish Hamilton,English,0241141826,9780241141823,https://www.goodreads.com/book/show/7146335-skippy-dies,
A Dog's Purpose,W. Bruce Cameron,Fiction Animals Animals Dogs Contemporary,July 6th 2010,319,Forge,English,0765326264,9780765326263,https://www.goodreads.com/book/show/7723542-a-dog-s-purpose,
A Capitalist in North Korea: My Seven Years in the Hermit Kingdom,Felix Abt,Nonfiction Politics Cultural Asia Business History Earth The World,August 12th 2014,320,Tuttle Publishing,,,9780804844390,https://www.goodreads.com/book/show/18343754-a-capitalist-in-north-korea,
Gulag,Anne Applebaum,History Nonfiction Cultural Russia History Russian History Politics Historical War History European History History World History Literature 20th Century,,610,Doubleday,English,0767900561,9780767900560,https://www.goodreads.com/book/show/224379.Gulag,
Love; Lex,Avery Aster,New Adult Romance Contemporary Adult Fiction Erotica Romance Contemporary Romance,April 10th 2014,218,CreateSpace,English,1497465141,9781497465145,https://www.goodreads.com/book/show/20567976-love-lex,
Skinny Dip,Carl Hiaasen,Fiction Mystery Humor Mystery Crime,May 1st 2006,496,Grand Central Publishing,English,0446615129,9780446615129,https://www.goodreads.com/book/show/13079.Skinny_Dip,
Brooklyn,Colm Tóibín,Fiction Historical Historical Fiction Cultural Ireland Historical Romance,May 5th 2009,262,Scribner,English,1439138311,9781439138311,https://www.goodreads.com/book/show/4954833-brooklyn,
The Uncommon Reader,Alan Bennett,Fiction Writing Books About Books Humor European Literature British Literature Contemporary,September 18th 2007,120,Farrar; Straus and Giroux,English,0374280967,9780374280963,https://www.goodreads.com/book/show/1096390.The_Uncommon_Reader,
Benjamin Franklin: An American Life,Walter Isaacson,Biography History Nonfiction North American Hi... American History,June 2004,586,Simon & Schuster,English,074325807X,9780743258074,https://www.goodreads.com/book/show/10883.Benjamin_Franklin,
Carnelian,B. Kristin McMichael,Fantasy Science Fiction Time Travel Young Adult Romance Science Fiction,February 1st 2014,200,Lexia Press,,,9780989121873,https://www.goodreads.com/book/show/20512062-carnelian,
Harry Potter and the Deathly Hallows,J.K. Rowling Mary GrandPré,Fantasy Young Adult Fiction,July 21st 2007,759,Arthur A. Levine Books,English,0545010225,9780545010221,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,
The Kite Runner,Khaled Hosseini,Fiction Historical Historical Fiction Contemporary,May 1st 2004,371,Riverhead Books,English,1594480001,9781594480003,https://www.goodreads.com/book/show/77203.The_Kite_Runner,
The Hunger Games,Suzanne Collins,Young Adult Fiction Science Fiction Dystopia Fantasy Science Fiction,September 14th 2008,374,Scholastic Press,English,0439023483,9780439023481,https://www.goodreads.com/book/show/2767052-the-hunger-games,
The Book Thief,Markus Zusak,Historical Historical Fiction Fiction Young Adult,March 14th 2006,552,Alfred A. Knopf Books for Young Readers,English,0375831002,9780375831003,https://www.goodreads.com/book/show/19063.The_Book_Thief,
Harry Potter and the Half-Blood Prince,J.K. Rowling Mary GrandPré,Fantasy Young Adult Fiction,September 16th 2006,652,Scholastic Inc.,English,0439785960,9780439785969,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,
A Thousand Splendid Suns,Khaled Hosseini,Fiction Historical Historical Fiction Contemporary,May 22nd 2007,367,Riverhead,English,1594489505,9781594489501,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,
Harry Potter and the Order of the Phoenix,J.K. Rowling Mary GrandPré,Fantasy Young Adult Fiction,August 10th 2004,870,Scholastic Inc.,English,0439358078,9780439358071,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,
The Help,Kathryn Stockett,Fiction Historical Historical Fiction Historical Adult Adult Fiction,February 10th 2009,444,Amy Einhorn Books,English,0399155341,9780399155345,https://www.goodreads.com/book/show/4667024-the-help,
Life of Pi,Yann Martel,Fantasy Adventure Classics Contemporary Fiction Literature Philosophy,August 29th 2006,460,Seal Books,English,0770430074,9780770430078,https://www.goodreads.com/book/show/4214.Life_of_Pi,
Catching Fire,Suzanne Collins,Young Adult Science Fiction Dystopia Fantasy Science Fiction Romance Adventure Young Adult Teen Apocalyptic Post Apocalyptic Action Science Fiction Fantasy,September 1st 2009,391,Scholastic Press,English,0439023491,9780439023498,https://www.goodreads.com/book/show/6148028-catching-fire,
The Da Vinci Code,Dan Brown,Mystery Thriller Suspense Historical Historical Fiction Adventure Thriller Mystery Thriller,March 28th 2006,481,Anchor,English,0307277674,9780307277671,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,
The Girl with the Dragon Tattoo,Stieg Larsson Reg Keeland,Fiction Mystery Mystery Crime Suspense,September 16th 2008,465,Knopf,English,0307269752,9780307269751,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,
The Fault in Our Stars,John Green,Young Adult Fiction Romance Contemporary,January 10th 2012,313,Dutton Books,English,0525478817,9780525478812,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,
The Road,Cormac McCarthy,Fiction Science Fiction Science Fiction Dystopia Apocalyptic Post Apocalyptic,September 26th 2006,241,Knopf,English,0307265439,9780307265432,https://www.goodreads.com/book/show/6288.The_Road,
Water for Elephants,Sara Gruen,Fiction Historical Historical Fiction Romance Book Club,May 1st 2007,335,Algonquin Books,English,1565125606,9781565125605,https://www.goodreads.com/book/show/43641.Water_for_Elephants,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction Mystery Young Adult Contemporary,May 18th 2004,226,Vintage,English,1400032717,9781400032716,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,
Unaccustomed Earth,Jhumpa Lahiri,Fiction Short Stories Cultural India Contemporary,,352,Knopf,English,0676979343,9780676979343,https://www.goodreads.com/book/show/85301.Unaccustomed_Earth,
Cutting for Stone,Abraham Verghese,Fiction Historical Historical Fiction Cultural Africa Book Club Eastern Africa Ethiopia Health Medicine Medical Novels Abandoned Adult Fiction,February 3rd 2009,541,Knopf,English,0375414495,9780375414497,https://www.goodreads.com/book/show/3591262-cutting-for-stone,
11/22/63,Stephen King,Fiction Historical Historical Fiction Science Fiction Science Fiction Time Travel Fantasy,November 8th 2011,849,Scribner,English,1451627289,9781451627282,https://www.goodreads.com/book/show/10644930-11-22-63,
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Nonfiction Religion History Crime True Crime Mystery Crime,,372,Pan MacMillan,English,0330419129,9780330419123,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven,
Clockwork Angel,Cassandra Clare,Fantasy Young Adult Fantasy Paranormal Science Fiction Steampunk Romance,August 31st 2010,481,Simon & Schuster; Margaret K. McElderry,English,1416975861,9781416975861,https://www.goodreads.com/book/show/7171637-clockwork-angel,
